file,seng,feng,sum
B-NHC.log,-484.449725268,0.160862,-484.288863268
INT-1.log,-1275.84911425,0.503717,-1275.34539725
INT-2.log,-1275.89981253,0.507357,-1275.39245553
INT-3.log,-1585.54164113,0.638074,-1584.90356713
INT-4.log,-1585.53595483,0.647771,-1584.8881838300001
INT-5.log,-1101.004144,0.456486,-1100.547658
INT0.log,-791.389726518,0.315473,-791.074253518
INT1.log,-1275.86278401,0.499273,-1275.3635110100001
INT2.log,-1275.91107127,0.509594,-1275.40147727
INT2a.log,-1275.89981251,0.507356,-1275.3924565099999
INT3.log,-1585.55292691,0.640674,-1584.91225291
INT3a.log,-1585.54164024,0.638062,-1584.9035782400001
INT4.log,-1585.57254742,0.647063,-1584.9254844200002
INT4a.log,-1585.5354277,0.646943,-1584.8884847
INT5.log,-1101.01279581,0.458003,-1100.55479281
INT5a.log,-1101.0425606,0.45651,-1100.5860506
